City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,dawesville,30.9224,-84.0091,35.23,52,0,4.12,US,1719189154
290,slavutych,51.5196,30.7343,14.55,88,0,3.04,UA,1719189154
291,kindu,-2.95,25.95,22.72,68,54,0.29,CD,1719189155
292,nicoya,10.1483,-85.452,24.97,92,100,0.81,CR,1719189155
293,paranaiba,-19.6772,-51.1908,22.64,41,0,3.04,BR,1719189155
294,bac kan,22.1333,105.8333,27.27,93,100,0.79,VN,1719189155
295,bay harbor,30.1471,-85.6146,29.97,76,0,5.66,US,1719189156
296,frontera,26.9333,-101.45,29.38,59,57,1.79,MX,1719189156
297,trairi,-3.2778,-39.2689,25.64,82,100,4.39,BR,1719189156
298,badger,64.8,-147.5333,27.77,23,40,2.06,US,1719188874
299,mahina,-17.5065,-149.489,26.87,65,20,9.77,PF,1719189157
300,port alfred,-33.5906,26.891,19.3,50,0,2.38,ZA,1719189157
301,qui nhon,13.7667,109.2333,27.53,71,100,2.7,VN,1719189089
302,parintins,-2.6283,-56.7358,25.7,74,47,0.93,BR,1719189157
303,geraldton,-28.7667,114.6,9.23,87,0,2.57,AU,1719189019
304,prineville,44.2999,-120.8345,29.39,9,0,7.72,US,1719189158
305,watertown,42.3709,-71.1828,27.45,77,0,7.72,US,1719189158
306,okha,53.5739,142.9478,12.64,69,7,7.4,RU,1719189158
307,sidi ifni,29.3797,-10.173,20.86,90,40,1.36,MA,1719189159
308,sandpoint,48.2766,-116.5533,25.81,36,0,5.14,US,1719188865
309,ostersund,63.1792,14.6357,9.25,89,40,2.57,SE,1719189159
310,happy valley-goose bay,53.3168,-60.3315,19.17,27,20,3.6,CA,1719189159
311,kirkland lake,48.1446,-80.0377,19.16,72,43,1.03,CA,1719189160
312,labuan bajo,-8.4964,119.8877,27.23,66,59,1.79,ID,1719189160
313,pionerskiy,54.9508,20.2275,14.91,86,100,8.13,RU,1719189160
314,gisborne,-38.6533,178.0042,13.48,85,47,0.38,NZ,1719189161
315,alghero,40.5589,8.3181,17.05,88,0,1.03,IT,1719189161
316,alaghsas,17.0187,8.0168,29.62,42,100,4.52,NE,1719189161
317,kuluncak,38.8828,37.6728,17.91,58,0,3.5,TR,1719189161
318,hasaki,35.7333,140.8333,27.22,84,56,0.93,JP,1719189162
319,nar'yan-mar,67.6713,53.087,8.5,78,98,3.34,RU,1719189162
320,luwuk,-0.9516,122.7875,25.8,76,51,1.89,ID,1719189162
321,birjand,32.8663,59.2211,22.26,30,0,3.09,IR,1719189163
322,sanga-sanga,5.0725,119.7853,27.33,80,99,6.77,PH,1719189163
323,sorong,-0.8833,131.25,27.39,81,40,3.6,ID,1719189163
324,keflavik,64.0049,-22.5624,8.95,93,40,4.63,IS,1719189163
325,hammerfest,70.6634,23.6821,11.25,87,75,2.06,NO,1719189164
326,villa gesell,-37.2639,-56.973,6.7,65,4,8.46,AR,1719189164
327,ratnagiri,16.9833,73.3,26.69,87,91,2.3,IN,1719189164
328,gaspe,48.8334,-64.4819,15.12,88,100,1.03,CA,1719189164
329,guiberoua,6.2392,-6.1727,22.18,100,90,1.44,CI,1719189165
330,tocopilla,-22.092,-70.1979,17.52,78,0,2.11,CL,1719189165
331,altai,46.3722,96.2583,20.13,21,100,4.77,MN,1719189165
332,linhares,-19.3911,-40.0722,20.28,95,1,1.33,BR,1719189165
333,fort mcmurray,56.7268,-111.381,22.73,60,20,6.17,CA,1719189068
334,tank,32.2217,70.3793,34.32,27,5,1.76,PK,1719189166
335,vejle,55.7093,9.5357,14.42,97,9,3.47,DK,1719189166
336,melfi,40.9965,15.6514,15.27,82,11,2.6,IT,1719189166
337,copiapo,-27.3667,-70.3333,10.83,54,100,0.5,CL,1719189167
338,charleston,32.7766,-79.9309,29.45,86,40,5.14,US,1719189144
339,loen,7.7601,168.2307,28.22,81,28,8.33,MH,1719189168
340,pitimbu,-7.4706,-34.8086,24.33,82,19,4.92,BR,1719189168
341,jamestown,42.097,-79.2353,21.77,94,100,7.2,US,1719189142
342,novomyrhorod,48.7811,31.642,16.24,95,100,3.29,UA,1719189168
343,minas de marcona,-15.2119,-75.1103,12.27,87,43,6.21,PE,1719189169
344,freetown,8.484,-13.2299,26.12,85,100,2.07,SL,1719189169
345,badiyah,22.45,58.8,32.27,44,100,2.56,OM,1719189169
346,lae,-6.7221,146.9847,28.37,69,21,2.54,PG,1719189170
347,east london,-33.0153,27.9116,19.13,46,0,3.16,ZA,1719189170
348,sikonge,-5.6333,32.7667,14.65,56,100,2.53,TZ,1719189170
349,baotou,40.6522,109.8222,20.01,31,0,1.55,CN,1719189171
350,paoua,7.2427,16.4406,21.31,91,100,1.7,CF,1719189171
351,utrik,11.2278,169.8474,27.92,80,33,9.5,MH,1719189171
352,chilaw,7.5758,79.7953,28.01,85,70,10.84,LK,1719189172
353,brisas de zicatela,15.8369,-97.0419,29.29,79,40,3.09,MX,1719189172
354,tolanaro,-25.0319,46.9987,20.04,83,75,8.23,MG,1719189172
355,farah,32.5,62.5,27.32,24,0,3.22,AF,1719189172
356,grand baie,-20.0182,57.5802,23.26,71,1,2.24,MU,1719189173
357,quartu sant'elena,39.2419,9.1839,19.44,70,0,1.54,IT,1719189173
358,hithadhoo,-0.6,73.0833,28.5,75,0,2.52,MV,1719189173
359,ta`u,-14.2336,-169.5144,26.43,62,78,9.22,AS,1719189173
360,codrington,-38.2667,141.9667,12.03,56,98,9.26,AU,1719189174
361,salekhard,66.53,66.6019,12.17,65,97,5.5,RU,1719189174
362,mugia,43.1041,-9.2179,20.09,94,96,7.89,ES,1719189174
363,stara zagora,42.4328,25.6419,17.18,77,91,1.77,BG,1719189174
364,gambiran satu,-8.3939,114.1464,22.25,100,100,0.08,ID,1719189175
